Time(s),DopplerOffset(Hz)
1770549446.178782,-2647.37451171875
1770549447.178782,-2968.008544921875
1770549448.178782,-3290.68603515625
1770549449.178782,-3614.7333984375
1770549450.178782,-3937.1142578125
1770549451.178782,-4258.98193359375
1770549452.178782,-4580.5107421875
1770549453.178782,-4904.55029296875
1770549454.178782,-5227.75634765625
1770549455.178782,-5551.24072265625
1770549456.178782,-5876.46533203125
1770549457.178782,-6198.7333984375
1770549458.178782,-6521.49755859375
1770549459.178782,-6845.8642578125
1770549460.178782,-7171.35986328125
1770549461.178782,-7496.02099609375
1770549462.178782,-7820.18408203125
1770549463.178782,-8142.95751953125
1770549464.178782,-8464.45703125
1770549465.178782,-8789.578125
1770549466.178782,-9113.34765625
1770549467.178782,-9435.4814453125
1770549468.178782,-9759.662109375
1770549469.178782,-10082.7216796875
1770549470.178782,-10403.0908203125
1770549471.178782,-10725.986328125
1770549472.178782,-11049.5966796875
1770549473.178782,-11371.076171875
1770549474.178782,-11692.4091796875
1770549475.178782,-12012.3583984375
1770549476.178782,-12331.125
1770549477.178782,-12650.2373046875
1770549478.178782,-12970.12890625
1770549479.178782,-13288.42578125
1770549480.178782,-13604.244140625
1770549481.178782,-13921.94921875
1770549482.178782,-14239.69140625
1770549483.178782,-14553.4345703125
1770549484.178782,-14866.9755859375
1770549485.178782,-15179.4453125
1770549486.178782,-15491.671875
1770549487.178782,-15804.9609375
1770549488.178782,-16117.8056640625
1770549489.178782,-16427.5546875
1770549490.178782,-16737.58984375
1770549491.178782,-17041.9609375
1770549492.178782,-17348.578125
1770549493.178782,-17657.94921875
1770549494.178782,-17963.20703125
1770549495.178782,-18265.380859375
1770549496.178782,-18567.13671875
1770549497.178782,-18869.2109375
1770549498.178782,-19169.529296875
1770549499.178782,-19468.607421875
1770549500.178782,-19768.447265625
1770549501.178782,-20065.72265625
1770549502.178782,-20361.25390625
1770549503.178782,-20655.53125
1770549504.178782,-20947.08203125
1770549505.178782,-21237.435546875
1770549506.178782,-21529.109375
1770549507.178782,-21819.67578125
1770549508.178782,-22106.2265625
1770549509.178782,-22392.05078125
1770549510.178782,-22678.24609375
1770549511.178782,-22961.1171875
1770549512.178782,-23242.490234375
1770549513.178782,-23521.8515625
1770549514.178782,-23801.16796875
1770549515.178782,-24080.240234375
1770549516.178782,-24355.884765625
1770549517.178782,-24629.80078125
1770549518.178782,-24901.900390625
1770549519.178782,-25172.40234375
1770549520.178782,-25442.462890625
1770549521.178782,-25711.119140625
1770549522.178782,-25978.080078125
1770549523.178782,-26236.42578125
1770549524.178782,-26500.08984375
1770549525.178782,-26766.275390625
1770549526.178782,-27025.3828125
1770549527.178782,-27284.044921875
1770549528.178782,-27541.265625
1770549529.178782,-27795.94140625
1770549530.178782,-28051.552734375
1770549531.178782,-28303.37109375
1770549532.178782,-28552.8359375
1770549533.178782,-28800.197265625
1770549534.178782,-29047.498046875
1770549535.178782,-29293.58203125
1770549536.178782,-29535.537109375
1770549537.178782,-29776.076171875
1770549538.178782,-30016.19921875
1770549539.178782,-30250.75
1770549540.178782,-30487.5859375
1770549541.178782,-30727.681640625
1770549542.178782,-30960.697265625
1770549543.178782,-31190.923828125
1770549544.178782,-31420.646484375
1770549545.178782,-31650.337890625
1770549546.178782,-31877.416015625
1770549547.178782,-32102.001953125
1770549548.178782,-32324.205078125
1770549549.178782,-32545.31640625
1770549550.178782,-32764.896484375
1770549551.178782,-32982.703125
1770549552.178782,-33200.22265625
