Time(s),DopplerOffset(Hz)
1770477337.933515,-10555.0458984375
1770477338.933515,-10916.5625
1770477339.933515,-11277.2724609375
1770477340.933515,-11637.6923828125
1770477341.933515,-11998.240234375
1770477342.933515,-12356.2421875
1770477343.933515,-12714.2236328125
1770477344.933515,-13070.9736328125
1770477345.933515,-13426.27734375
1770477346.933515,-13780.66015625
1770477347.933515,-14135.8623046875
1770477348.933515,-14489.2265625
1770477349.933515,-14843.029296875
1770477350.933515,-15193.9921875
1770477351.933515,-15542.1611328125
1770477352.933515,-15891.865234375
1770477353.933515,-16241.2958984375
1770477354.933515,-16587.451171875
1770477355.933515,-16933.443359375
1770477356.933515,-17277.9453125
1770477357.933515,-17620.259765625
1770477358.933515,-17960.8203125
1770477359.933515,-18301.69140625
1770477360.933515,-18640.373046875
1770477361.933515,-18976.70703125
1770477362.933515,-19299.095703125
1770477363.933515,-19632.841796875
1770477364.933515,-19976.732421875
1770477365.933515,-20307.671875
1770477366.933515,-20638.455078125
1770477367.933515,-20965.369140625
1770477368.933515,-21290.7578125
1770477369.933515,-21614.90234375
1770477370.933515,-21937.712890625
1770477371.933515,-22256.978515625
1770477372.933515,-22576.236328125
1770477373.933515,-22893.59375
1770477374.933515,-23206.796875
1770477375.933515,-23517.08984375
1770477376.933515,-23829.078125
1770477377.933515,-24138.392578125
1770477378.933515,-24445.435546875
1770477379.933515,-24751.94921875
1770477380.933515,-25055.2578125
1770477381.933515,-25355.814453125
1770477382.933515,-25654.046875
1770477383.933515,-25951.15234375
1770477384.933515,-26245.7890625
1770477385.933515,-26538.59765625
1770477386.933515,-26829.71875
1770477387.933515,-27118.68359375
1770477388.933515,-27405.48828125
1770477389.933515,-27688.705078125
1770477390.933515,-27971.2578125
1770477391.933515,-28251.298828125
1770477392.933515,-28530.029296875
1770477393.933515,-28805.76953125
1770477394.933515,-29079.71875
1770477395.933515,-29350.642578125
1770477396.933515,-29618.939453125
1770477397.933515,-29886.173828125
1770477398.933515,-30152.130859375
1770477399.933515,-30415.306640625
1770477400.933515,-30676.19140625
1770477401.933515,-30936.41015625
