Time(s),DopplerOffset(Hz)
1770474343.7520509,-1811.9483642578125
1770474344.7520509,-2177.75634765625
1770474345.7520509,-2544.177001953125
1770474346.7520509,-2907.780029296875
1770474347.7520509,-3270.6044921875
1770474348.7520509,-3635.6796875
1770474349.7520509,-4000.53955078125
1770474350.7520509,-4358.90869140625
1770474351.7520509,-4721.02734375
1770474352.7520509,-5085.31201171875
1770474353.7520509,-5443.3603515625
1770474354.7520509,-5801.0693359375
1770474355.7520509,-6160.90185546875
1770474356.7520509,-6520.7099609375
1770474357.7520509,-6876.76025390625
1770474358.7520509,-7231.7314453125
1770474359.7520509,-7586.11474609375
1770474360.7520509,-7938.9931640625
1770474361.7520509,-8290.8388671875
1770474362.7520509,-8643.634765625
1770474363.7520509,-8992.5771484375
1770474364.7520509,-9341.0634765625
1770474365.7520509,-9692.412109375
1770474366.7520509,-10039.3134765625
1770474367.7520509,-10380.765625
1770474368.7520509,-10722.7939453125
1770474369.7520509,-11064.3798828125
1770474370.7520509,-11406.31640625
1770474371.7520509,-11748.2138671875
1770474372.7520509,-12084.265625
1770474373.7520509,-12418.99609375
1770474374.7520509,-12752.298828125
1770474375.7520509,-13086.6787109375
1770474376.7520509,-13417.5791015625
1770474377.7520509,-13747.572265625
1770474378.7520509,-14076.9052734375
1770474379.7520509,-14399.8662109375
1770474380.7520509,-14722.9736328125
1770474381.7520509,-15047.7119140625
1770474382.7520509,-15367.6796875
1770474383.7520509,-15684.8251953125
1770474384.7520509,-16003.5341796875
1770474385.7520509,-16319.265625
1770474386.7520509,-16632.484375
1770474387.7520509,-16942.064453125
1770474388.7520509,-17251.736328125
1770474389.7520509,-17560.22265625
1770474390.7520509,-17866.47265625
1770474391.7520509,-18169.494140625
1770474392.7520509,-18471.84375
1770474393.7520509,-18771.712890625
1770474394.7520509,-19068.3984375
1770474395.7520509,-19362.54296875
1770474396.7520509,-19654.36328125
1770474397.7520509,-19945.341796875
1770474398.7520509,-20236.451171875
1770474399.7520509,-20526.421875
1770474400.7520509,-20806.6015625
1770474401.7520509,-21088.69921875
1770474402.7520509,-21372.927734375
1770474403.7520509,-21653.001953125
1770474404.7520509,-21929.74609375
1770474405.7520509,-22204.857421875
1770474406.7520509,-22477.791015625
1770474407.7520509,-22747.26953125
1770474408.7520509,-23015.14453125
1770474409.7520509,-23280.25390625
1770474410.7520509,-23543.84375
1770474411.7520509,-23806.953125
1770474412.7520509,-24067.423828125
1770474413.7520509,-24323.5859375
1770474414.7520509,-24578.62890625
1770474415.7520509,-24830.3984375
1770474416.7520509,-25081.00390625
1770474417.7520509,-25331.125
1770474418.7520509,-25580.525390625
1770474419.7520509,-25824.818359375
1770474420.7520509,-26066.40625
1770474421.7520509,-26306.193359375
1770474422.7520509,-26544.072265625
1770474423.7520509,-26780.822265625
1770474424.7520509,-27013.6875
1770474425.7520509,-27245.2734375
1770474426.7520509,-27476.658203125
1770474427.7520509,-27704.666015625
1770474428.7520509,-27929.6015625
1770474429.7520509,-28155.44140625
1770474430.7520509,-28379.40234375
1770474431.7520509,-28598.65234375
1770474432.7520509,-28815.056640625
1770474433.7520509,-29030.193359375
1770474434.7520509,-29243.166015625
1770474435.7520509,-29454.39453125
1770474436.7520509,-29663.900390625
1770474437.7520509,-29871.310546875
1770474438.7520509,-30078.39453125
1770474439.7520509,-30282.9921875
1770474440.7520509,-30484.22265625
1770474441.7520509,-30683.955078125
1770474442.7520509,-30882.15234375
1770474443.7520509,-31077.884765625
1770474444.7520509,-31273.255859375
1770474445.7520509,-31466.009765625
1770474446.7520509,-31656.599609375
1770474447.7520509,-31845.279296875
1770474448.7520509,-32032.083984375
1770474449.7520509,-32216.61328125
1770474450.7520509,-32398.759765625
1770474451.7520509,-32579.478515625
1770474452.7520509,-32760.248046875
1770474453.7520509,-32939.1328125
1770474454.7520509,-33114.92578125
